AAP,991484.4,<Pricable.Portfolio object at 0x7fe6ccf4ea90>,456.513357325,599.988983913
ABG,994917.59,<Pricable.Portfolio object at 0x7fe6e4ca1fd0>,nan,nan
AAPL,997246.28,<Pricable.Portfolio object at 0x7fe6cd06b048>,nan,nan
ABCO,997645.5,<Pricable.Portfolio object at 0x7fe6cd2677f0>,-223.176202621,-293.317294874
ACAT,998276.54,<Pricable.Portfolio object at 0x7fe6db4c0a20>,-162.989050559,-214.214180735
AAT,998808.57,<Pricable.Portfolio object at 0x7fe6db36aa58>,nan,nan
ABM,998953.95,<Pricable.Portfolio object at 0x7fe6da67e748>,nan,nan
ACAD,999010.0,<Pricable.Portfolio object at 0x7fe6ce4ca5c0>,200.844815219,263.967471431
ABR,999093.42,<Pricable.Portfolio object at 0x7fe6e41c9ba8>,-12.8851311222,-16.9347437606
AAC,999233.0,<Pricable.Portfolio object at 0x7fe6e4c17320>,106.663411591,140.186198092
ABY,999603.66,<Pricable.Portfolio object at 0x7fe6cd357390>,-95.687446151,-125.760643513
ABX,999749.47,<Pricable.Portfolio object at 0x7fe6ccd90e10>,-48.5490579171,-63.8073332625
ABMD,999791.0,<Pricable.Portfolio object at 0x7fe6dbae6dd8>,165.619383596,217.671189869
AAON,999852.79,<Pricable.Portfolio object at 0x7fe699104a90>,-89.0500241434,-117.037174589
AAU,999916.0,<Pricable.Portfolio object at 0x7fe6e4062860>,nan,nan
A,1000000,<Pricable.Portfolio object at 0x7fe6cd1df668>,-0.0,-0.0
AA,1000000,<Pricable.Portfolio object at 0x7fe699b2c908>,-0.0,-0.0
AAAP,1000000,<Pricable.Portfolio object at 0x7fe6cc454828>,-0.0,-0.0
AAL,1000720.52,<Pricable.Portfolio object at 0x7fe6db45bd30>,nan,nan
AAMC,nan,<Pricable.Portfolio object at 0x7fe6cdd19b00>,2876.94916322,3781.13318594
AAME,nan,<Pricable.Portfolio object at 0x7fe6d83fca58>,nan,nan
AAN,nan,<Pricable.Portfolio object at 0x7fe6d83fcac8>,-99.4325925259,-130.682835891
ABCB,999467.05,<Pricable.Portfolio object at 0x7fe6e4ca13c8>,nan,nan
ABDC,999959.12,<Pricable.Portfolio object at 0x7fe6daf7bd68>,-25.041857949,-32.9121561615
AAPC,1000000,<Pricable.Portfolio object at 0x7fe6ccf4e438>,-0.0,-0.0
AC,1000000,<Pricable.Portfolio object at 0x7fe6cc9e2780>,-0.0,-0.0
AB,1000930.38,<Pricable.Portfolio object at 0x7fe6cccaada0>,-72.2087704563,-94.9029554568
AAOI,1001532.0,<Pricable.Portfolio object at 0x7fe6cdd194e0>,nan,nan
AAV,nan,<Pricable.Portfolio object at 0x7fe6db189ef0>,nan,nan
AAWW,nan,<Pricable.Portfolio object at 0x7fe6db1892e8>,-214.750822393,-282.243938003
AAXJ,1000097.82,<Pricable.Portfolio object at 0x7fe6db45d1d0>,-90.6252903054,-119.107524401
ABAC,nan,<Pricable.Portfolio object at 0x7fe6cdc92630>,-12.0339885989,-15.8160993014
ABC,995815.51,<Pricable.Portfolio object at 0x7fe6e4ca19e8>,164.859821742,216.672908575
ABB,998454.36,<Pricable.Portfolio object at 0x7fe6db189828>,nan,nan
ABTX,1000000,<Pricable.Portfolio object at 0x7fe6daf86978>,-0.0,-0.0
ACBI,1000000,<Pricable.Portfolio object at 0x7fe6cc35d358>,-0.0,-0.0
ACAS,1000171.57,<Pricable.Portfolio object at 0x7fe6dada40f0>,-41.0506729876,-53.9523130694
ABTL,1000756.0,<Pricable.Portfolio object at 0x7fe6dbae6828>,96.0207053084,126.198641263
ABAX,1002238.14,<Pricable.Portfolio object at 0x7fe6da763f28>,nan,nan
ABBV,1002334.41,<Pricable.Portfolio object at 0x7fe6ccbd9b00>,nan,nan
ABCD,nan,<Pricable.Portfolio object at 0x7fe6da9f4a20>,nan,nan
ABEO,nan,<Pricable.Portfolio object at 0x7fe6da67eda0>,nan,nan
ABEV,nan,<Pricable.Portfolio object at 0x7fe6d83e2a58>,-20.7622237981,-27.2874941346
ABIL,nan,<Pricable.Portfolio object at 0x7fe6d83a6668>,-8.28963236284,-10.8949453912
ABIO,nan,<Pricable.Portfolio object at 0x7fe6da67e128>,-44.8500864743,-58.9458279377
ABRN,999957.53,<Pricable.Portfolio object at 0x7fe6cc9e2080>,nan,nan
ABT,1000041.46,<Pricable.Portfolio object at 0x7fe6daf863c8>,nan,nan
ABUS,nan,<Pricable.Portfolio object at 0x7fe6e41c94a8>,-198.283227981,-260.600813918
ACPW,996922.0,<Pricable.Portfolio object at 0x7fe6cd1df940>,-7.72246692007,-10.1495279521
ACHN,998420.0,<Pricable.Portfolio object at 0x7fe6d842f630>,nan,nan
ACWX,999053.16,<Pricable.Portfolio object at 0x7fe6ccc8a208>,nan,nan
ACLS,999184.0,<Pricable.Portfolio object at 0x7fe6dada4d30>,-50.9758777832,-66.9968679437
ADM,999367.61,<Pricable.Portfolio object at 0x7fe6ccc8a9b0>,-117.732038141,-154.733535842
ACTA,999467.0,<Pricable.Portfolio object at 0x7fe6cd1dfda0>,-95.3985624975,-125.380967854
ACM,999470.0,<Pricable.Portfolio object at 0x7fe6d842d3c8>,nan,nan
ACXM,999590.83,<Pricable.Portfolio object at 0x7fe6ccc8a470>,nan,nan
ACWI,999689.31,<Pricable.Portfolio object at 0x7fe6ccc8a630>,-77.6673600309,-102.077101755
ACET,999753.88,<Pricable.Portfolio object at 0x7fe6d842def0>,-101.86232518,-133.876198807
ADC,999787.12,<Pricable.Portfolio object at 0x7fe6ccc8a860>,-55.4656417077,-72.8977005302
ACP,999858.85,<Pricable.Portfolio object at 0x7fe6d8413780>,nan,nan
ADI,999942.98,<Pricable.Portfolio object at 0x7fe6ccc8a9e8>,nan,nan
ACSF,999961.52,<Pricable.Portfolio object at 0x7fe6cd1df5c0>,nan,nan
ACGLP,1000000,<Pricable.Portfolio object at 0x7fe6d8411fd0>,-0.0,-0.0
ACIA,1000000,<Pricable.Portfolio object at 0x7fe6d842d978>,-0.0,-0.0
ACIU,1000000,<Pricable.Portfolio object at 0x7fe6d842ef60>,-0.0,-0.0
ACRS,1000000,<Pricable.Portfolio object at 0x7fe6cd1dfb70>,-0.0,-0.0
ACTX,1000000,<Pricable.Portfolio object at 0x7fe6cd1dfdd8>,-0.0,-0.0
ACV,1000000,<Pricable.Portfolio object at 0x7fe6ccc8a588>,-0.0,-0.0
ADAP,1000000,<Pricable.Portfolio object at 0x7fe6ccc8a240>,-0.0,-0.0
ADES,1000000,<Pricable.Portfolio object at 0x7fe6ccc8a748>,-0.0,-0.0
ACTG,1000036.19,<Pricable.Portfolio object at 0x7fe6d840e4a8>,nan,nan
